Type,Mutability,Description,Syntax examples
,,,
bool,immutable,Boolean value,TrueFalse
bytearray,mutable,Sequence of bytes,"bytearray(b'Some ASCII')bytearray(b""Some ASCII"")bytearray([119, 105, 107, 105])"
bytes,immutable,Sequence of bytes,"b'Some ASCII'b""Some ASCII""bytes([119, 105, 107, 105])"
complex,immutable,Complex number with real and imaginary parts,3+2.7j3 + 2.7j
dict,mutable,"Associative array (or dictionary) of key and value pairs; can contain mixed types (keys and values), keys must be a hashable type","{'key1': 1.0, 3: False}{}"
types.EllipsisType,immutable,An ellipsis placeholder to be used as an index in NumPy arrays,...Ellipsis
float,immutable,Double-precision floating-point number. The precision is machine-dependent but in practice is generally implemented as a 64-bit IEEE 754 number with 53 bits of precision.[119],1.33333
frozenset,immutable,"Unordered set, contains no duplicates; can contain mixed types, if hashable","frozenset([4.0, 'string', True])"
int,immutable,Integer of unlimited magnitude[120],42
list,mutable,"List, can contain mixed types","[4.0, 'string', True][]"
types.NoneType,immutable,"An object representing the absence of a value, often called null in other languages",None
types.NotImplementedType,immutable,A placeholder that can be returned from overloaded operators to indicate unsupported operand types.,NotImplemented
range,immutable,An immutable sequence of numbers commonly used for looping a specific number of times in for loops[121],"range(−1, 10)range(10, −5, −2)"
set,mutable,"Unordered set, contains no duplicates; can contain mixed types, if hashable","{4.0, 'string', True}set()"
str,immutable,A character string: sequence of Unicode codepoints,"'Wikipedia'""Wikipedia""""""""Spanning
multiple
lines""""""
Spanning
multiple
lines"
tuple,immutable,Can contain mixed types,"(4.0, 'string', True)('single element',)()"
